TANGLISH_NAME,TAMIL_NAME,QUANTITY,SELLING_PRICE,QUANTITY_TYPE,CATEGORY
THOOYAMALLI RAW BROKEN RICE,தூயமல்லி பச்சை உடைந்த அரிசி,8,90,Kg,PROVISIONS
THANDU KEERAI,தண்டு கீரை,8,30,Piece,GREENS
IDLI RICE,இட்லி அரிசி,8,90,Kg,PROVISIONS
GINGELLY OIL,ஜிஞ்சல்லி எண்ணெய்,8,380,Kg,PROVISIONS
VALLI KILANGU,வள்ளி கிழங்கு,8,80,Kg,VEG
RED CHOLAM,சிவப்பு சோளம்,8,125,Kg,PROVISIONS
KICHALLI SAMBHA,கிச்சல்லி சம்பா,8,100,Kg,PROVISIONS
VELLAM,வெல்லம்,8,130,Kg,PROVISIONS
MGS TABASCO CHIPS,எம்ஜிஎஸ் தபாஸ்கோ சிப்ஸ்,8,300,Piece,MANGALSHA
MGS ROASTED PEANUTS,MGS வறுத்த வேர்க்கடலை,8,200,Piece,MANGALSHA
MGS THATTAI,எம்ஜிஎஸ் தட்டு,8,250,Piece,MANGALSHA
WHEEL CHIPS,வீல் சிப்ஸ்,8,10,Piece,MANGALSHA
RING CHIPS,ரிங் சிப்ஸ்,8,10,Piece,MANGALSHA
CORN CHIPS,கார்ன் சிப்ஸ்,8,10,Piece,MANGALSHA
MGS MASALA PEANUTS,எம்ஜிஎஸ் மசாலா வேர்க்கடலை,8,200,Piece,MANGALSHA
MGS KARABOONDHI,எம்ஜிஎஸ் கராபூந்தி,8,200,Piece,MANGALSHA
MGS SUGAR SEV,எம்ஜிஎஸ் சுகர் எஸ்இவி,8,200,Piece,MANGALSHA
MGS POTATO CHILLI,MGS உருளைக்கிழங்கு மிளகாய்,8,200,Piece,MANGALSHA
MGS POTATO CHIPS,எம்ஜிஎஸ் உருளைக்கிழங்கு சிப்ஸ்,8,200,Piece,MANGALSHA
MGS NENTHIRAM CHIPS,எம்ஜிஎஸ் நெந்திரம் சிப்ஸ்,8,350,Piece,MANGALSHA
MGS NICE SEV,எம்ஜிஎஸ் நைஸ் எஸ்இவி,8,200,Piece,MANGALSHA
MGS BUTTER SEV,எம்ஜிஎஸ் பட்டர் எஸ்இவி,8,200,Piece,MANGALSHA
MGS MIXTURE,எம்ஜிஎஸ் கலவை,8,200,Piece,MANGALSHA
MGS RIBBON PAKODA,எம்ஜிஎஸ் ரிப்பன் பகோடா,8,200,Piece,MANGALSHA
MGS SATTUR SEV,எம்ஜிஎஸ் சாத்தூர் எஸ்இவி,8,200,Piece,MANGALSHA
MGS PEPPER SEV,எம்ஜிஎஸ் பெப்பர் எஸ்இவி,8,200,Piece,MANGALSHA
NICE SEV,NICE SEV,8,200,Piece,MANGALSHA
HILL BANANA,மலை வாழை,8,200,Kg,FRUITS
PAPAYA,பப்பாளி,8,80,Kg,FRUITS
BUTTER SEV,வெண்ணெய் SEV,8,600,Kg,TREEYAA
MAPILLAI SAMBHA RICE FLOUR,மாப்பிள்ளை சம்பா அரிசி மாவு,8,200,Kg,PROVISIONS
COCONUT KOPARAI,தேங்காய் கொப்பரை,8,280,Kg,PROVISIONS
PORI KADALAI,பொரி கடலாய்,8,220,Kg,PROVISIONS
MAPILLAI SAMBHA AVAL,மாப்பிள்ளை சம்ப அவள்,8,140,Kg,PROVISIONS
KATTU YANAM,கட்டு யானம்,8,130,Kg,PROVISIONS
RED RICE,சிவப்பு அரிசி,8,100,Kg,PROVISIONS
CASHEW SPLIT,முந்திரி பிளவு,8,1000,Kg,TREEYAA
DRY RED CHILLI POWDER,உலர் சிவப்பு மிளகாய் தூள்,8,500,Kg,PROVISIONS
ALOE VERA GEL,அலோ வேரா ஜெல்,8,400,Kg,TREEYAA
MYSORE PAK,மைசூர் பாக்,8,200,Kg,ORGANIC FOOD
DIWALI COMBO 5 1KG,தீபாவளி காம்போ 5 1KG,8,480,Piece,ORGANIC FOOD
DIWALI COMBO 4 500GMS,தீபாவளி காம்போ 4 500GMS,8,335,Kg,SNACKS
KARUPATTI KAJU KATILI,கருப்பட்டி காஜு கட்டிலி,8,1375,Kg,SNACKS
ELLU PODI,எல்லு பொடி,8,1000,Kg,PROVISIONS
TREEYAA SPL MIXTURE,ட்ரீயா ஸ்பிஎல் கலவை,8,600,Kg,SNACKS
DIWALI COMBO 1 250GM,தீபாவளி காம்போ 1 250GM,8,199,Piece,ORGANIC FOOD
DIWALI COMBO 3 1KG,தீபாவளி காம்போ 3 1KG,8,699,Piece,ORGANIC FOOD
DIWALI COMBO 2 500GM,தீபாவளி காம்போ 2 500GM,8,349,Piece,ORGANIC FOOD
DRY FRUIT LADDOO,உலர் பழ லட்டு,8,1125,Kg,TREEYAA
COCONUT POWDER,தேங்காய் பொடி,8,300,Kg,TREEYAA
REFINED OIL,சுத்திகரிக்கப்பட்ட எண்ணெய்,8,450,Piece,ASTRIYA
MILK POWDER,பால் பவுடர்,8,455,Kg,ASTRIYA
AYUDHA POOJA COMBO 250GM,ஆயுத பூஜை காம்போ 250GM,8,199,Kg,TREEYAA
AYUDHA POOJA COMBO 500GM,ஆயுத பூஜை காம்போ 500GM,8,349,Piece,TREEYAA
AYUDHA POOJA COMBO 1KG,ஆயுத பூஜை காம்போ 1 கிலோ,8,649,Piece,TREEYAA
MAAVU ARISI RAW,மாவு அரிசி ரா,8,35,Kg,ASTRIYA
LADIES FINGER,பெண்களின் விரல்,8,110,Kg,VEG
COCONUT PURFI,தேங்காய் பர்ஃபி,8,600,Kg,TREEYAA
GROUND NUT OIL,நிலக்கடலை எண்ணெய்,8,270,Kg,PROVISIONS
CARROT HALWA,கேரட் அல்வா,8,800,Kg,TREEYAA
WHEAT BISCUIT,கோதுமை பிஸ்கட்,8,180,Kg,SNACKS
WHITE SUGAR ORGANIC,ஒயிட் சுகர் ஆர்கானிக்,8,150,Kg,PROVISIONS
VINAYAGAR POOJA ITEMS,விநாயகர் பூஜை பொருட்கள்,8,35,Piece,GREENS
VINAYAKAR COMBO PACK,விநாயகர் காம்போ பேக்,8,375,Piece,TREEYAA
KOZHUKATTAI MAAVU (PONNI),கொழுக்கட்டை மாவு (பொன்னி),8,140,Kg,ASTRIYA
"VINAYAGAR IDOL 10""","விநாயகர் சிலை 10""",8,550,Piece,ASTRIYA
"VINAYAGAR IDOL 8""","விநாயகர் சிலை 8""",8,450,Piece,ASTRIYA
RIBBON PAKKODA,ரிப்பன் பக்கோடா,8,600,Kg,SNACKS
PACKING COVER,பேக்கிங் கவர்,8,10,Piece,ASTRIYA
KRISHNA JAYANTHI COMBO PACK,கிருஷ்ண ஜெயந்தி காம்போ பேக்,8,599,Piece,TREEYAA
BABY POTATO,குழந்தை உருளைக்கிழங்கு,8,70,Kg,VEG
COCONUT,தேங்காய்,8,45,Kg,VEG
GARLIC,பூண்டு,8,360,Piece,GREENS
BRINJAL - PURPLE STRIPES,பிரிஞ்சி - ஊதா நிற கோடுகள்,8,70,Kg,VEG
SWEET POTATO,இனிப்பு உருளைக்கிழங்கு,8,120,Kg,VEG
MIXTURE,கலவை,8,600,Kg,SNACKS
MIXTURE (NON GARLIC),கலவை (பூண்டு அல்லாதது),8,600,Kg,TREEYAA
CHOLAM BISCUIT,சோளம் பிஸ்கட்,8,30,Kg,SNACKS
VARAGU BISCUIT,வரகு பிஸ்கட்,8,30,Kg,SNACKS
SAAMAI BISCUIT,சாமை பிஸ்கட்,8,30,Kg,SNACKS
THINAI BISCUIT,திணை பிஸ்கட்,8,180,Kg,SNACKS
KAMBU BISCUIT,கம்பு பிஸ்கட்,8,30,Kg,SNACKS
RAGI BISCUIT,ராகி பிஸ்கட்,8,30,Kg,SNACKS
MULTI MILLET ATTA FLOUR,MULTI MILLET ATTA FLOUR,8,200,Kg,PROVISIONS
NATTUSAKKARAI,நாட்டுசக்கரை,8,130,Kg,PROVISIONS
PUTHINA,புதினா,8,40,Piece,GREENS
POMEGRANATE,மாதுளை,8,300,Kg,FRUITS
NENTHIRAM BANANA,நெந்திரம் வாழை,8,110,Kg,FRUITS
MOSAMBI,மோசம்பி,8,160,Kg,FRUITS
PUDALANKAI,புடலங்காய்,8,90,Kg,VEG
CARROT,கேரட்,8,130,Kg,VEG
CUCUMBER - (VELLARI PINJU),வெள்ளரி - (வெள்ளரி பிஞ்சு),8,110,Kg,VEG
BIG ONION,பெரிய வெங்காயம்,8,100,Kg,VEG
MANI SAMBHA,மணி சம்பா,8,200,Kg,PROVISIONS
FARM MAPILLAI SAMBHA RICE,பண்ணை மாப்பிள்ளை சம்பா அரிசி,8,110,Kg,PROVISIONS
KOTHAVARANGA VATHAL,கொத்தவரங்க வத்தல்,8,1500,Kg,PROVISIONS
KOLLU,கொல்லு,8,140,Kg,PROVISIONS
KAMBU,கம்பு,8,170,Kg,PROVISIONS
SAAMAI,SAAMAI,8,130,Kg,PROVISIONS
HERBAL TEA POWDER,ஹெர்பல் டீ பவுடர்,0,520,Kg,PROVISIONS
PEANUT IDLI POWDER,கடலை இட்லி பொடி,8,900,Kg,PROVISIONS
SESAME IDLY POWDER,எள் இட்லி பொடி,8,600,Kg,ORGANIC FOOD
DRY PEANUTS,உலர் வேர்க்கடலை,8,220,Kg,PROVISIONS
BENGAL GRAM KADALA PARUPPU,பெங்கால் கிராம் கடல பருப்பு,8,170,Kg,PROVISIONS
BROWN MOCHAI,பிரவுன் மொச்சை,8,200,Kg,PROVISIONS
RED SOIL DAL((THUVRAM),சிவப்பு மண் டல் ((துவரம்),8,260,Kg,PROVISIONS
NARI PAYIRU,நாரி பயிறு,8,175,Kg,PROVISIONS
JEERAGAM,ஜீரகம்,8,1000,Kg,PROVISIONS
THUVARAM PARUPU,துவரம் பருப்பு,8,240,Kg,PROVISIONS
CASHEWNUT,முந்திரி,8,1200,Kg,PROVISIONS
DRUMSTICK POWDER,முருங்கைக்காய் பொடி,8,1200,Kg,TREEYAA
CABBAGE PURPLE,முட்டைக்கோஸ் ஊதா,8,90,Kg,VEG
KULLAKAR RICE,குல்லகர் அரிசி,8,110,Kg,PROVISIONS
RAGI,ராகி,8,120,Kg,PROVISIONS
SUKKANGAI VATHAL,சுக்கங்கை வாத்தல்,8,1500,Kg,PROVISIONS
TRADITIONAL RICE IDLI BATTER,பாரம்பரிய அரிசி இட்லி மாவு,8,110,Kg,TREEYAA
STALL PRODUCTS,ஸ்டால் தயாரிப்புகள்,8,100,Piece,ORGANIC FOOD
BANANA FLOWER,வாழைப்பூ,8,40,Kg,VEG
SEEDAI (KARAM),சீதை (கரம்),8,650,Kg,ORGANIC FOOD
PIRANDAI PODI,பிறண்டை பொடி,8,1000,Kg,PROVISIONS
BADAM (ALMOND),பாதாம் (பாதாம்),8,933,Kg,PROVISIONS
AMLA,ஆம்லா,8,110,Kg,FRUITS
YELLAKI BANANA,ஏலக்கி வாழைப்பழம்,8,110,Kg,FRUITS
BETEL LEAVES( VETRILAI),வெற்றிலை (வெற்றிலை),8,10,Piece,GREENS
CASHEW PAKODA,முந்திரி பக்கோடா,8,680,Kg,TREEYAA
ANDHRA MURUKKU,ஆந்திர முறுக்கு,8,520,Kg,TREEYAA
KOLLU KANJI MIX,கொள்ளு கஞ்சி கலவை,8,400,Kg,PROVISIONS
KUTHIRAIVALLI,குதிரைவல்லி,8,140,Kg,PROVISIONS
BEANS,பீன்ஸ்,8,170,Kg,VEG
CORIANDER SEEDS,கொத்தமல்லி விதைகள்,8,350,Kg,PROVISIONS
ULLUNTHU(BLACK),உளுந்து(கருப்பு),8,200,Kg,PROVISIONS
SAMBAR POWDER,சாம்பார் பொடி,8,500,Kg,PROVISIONS
ROMANI MANGO,ரோமானி மாம்பழம்,8,150,Kg,FRUITS
NEELAM MANGO,நீலம் மாம்பழம்,8,70,Kg,FRUITS
PALM JAGGERY LADOO,பனை வெல்லம் லடூ,8,600,Kg,ORGANIC FOOD
KAARA SEV,காரா செவ்,8,600,Kg,ORGANIC FOOD
PACHAI PATTANI,பச்சை பட்டாணி,8,200,Kg,PROVISIONS
KAIKUTHAL RICE NOODLES,கைகுத்தல் அரிசி நூடுல்ஸ்,8,75,Packet,PROVISIONS
KOLLU RASAM POWDER,கொள்ளு ரசம் பொடி,8,900,Kg,PROVISIONS
INSTANT MILLET IDLY DOSA FLOUR,உடனடி தினை இட்லி தோசை மாவு,8,100,Kg,PROVISIONS
SATHU MAAVU (HEALTH MIX),சாத்து மாவு (ஹெல்த் மிக்ஸ்),8,360,Kg,PROVISIONS
SATHUMAVU (LADDU),சாத்துமாவு (லட்டு),8,300,Kg,SNACKS
MIRACLE POWDER,மிராக்கிள் பவுடர்,8,180,Kg,PROVISIONS
KARA MURUKKU,கார முறுக்கு,8,520,Kg,SNACKS
MAAVU PAKODA,மாவு பகோடா,8,520,Kg,SNACKS
MASALA GROUNDNUT,மசாலா நிலக்கடலை,8,520,Kg,SNACKS
RED RICE ATHIRASAM,சிவப்பு அரிசி அதிரசம்,8,600,Kg,SNACKS
KAMBU MURUKKU,கம்பு முறுக்கு,8,600,Kg,SNACKS
TRADITIONAL RICE MURRUKU,பாரம்பரிய அரிசி முறுக்கு,8,720,Kg,SNACKS
THANGA SAMBA,தங்க சம்பா,8,110,Kg,PROVISIONS
BLACK KAVUNI AVAL,கருப்பு கவுனி அவல்,8,230,Kg,PROVISIONS
POONGAR AVAL,பூங்கர் அவல்,8,130,Kg,PROVISIONS
KALAN NMAK(BLACK SALT),கலன் நமக் (கருப்பு உப்பு),8,0,Kg,PROVISIONS
MUSK MELON,கஸ்தூரி முலாம்பழம்,8,110,Kg,FRUITS
GINGER,இஞ்சி,8,240,Kg,VEG
BANANA STEM,வாழைத் தண்டு,8,25,Kg,VEG
CHOW CHOW,சோவ் சோ,8,100,Kg,VEG
RED BANANA,சிவப்பு வாழைப்பழம்,8,130,Kg,FRUITS
KARPORAVALI,கற்போரவளி,8,90,Kg,FRUITS
SUNDAKKAI,சுண்டக்காய்,8,120,Kg,VEG
THATTAI PAYAR DRY,தட்டைப் பயர் உலர்,8,250,Kg,PROVISIONS
CUSTARD APPLE,கஸ்டர்ட் ஆப்பிள்,8,120,Kg,FRUITS
MS IDIYAPPAM FLOUR,எம்.எஸ் இடியப்பம் மாவு,8,200,Kg,PROVISIONS
WHEAT HALWA,கோதுமை ஹல்வா,8,600,Kg,SNACKS
SAAMAI MURUKKU,சாமை முறுக்கு,8,600,Kg,ORGANIC FOOD
MANGO JAM,மாங்காய் ஜாம்,8,750,Kg,PROVISIONS
MANGO HALWA,மாம்பழ ஹல்வா,8,750,Kg,ORGANIC FOOD
GUAVA,கொய்யா,8,90,Kg,FRUITS
SENDHURA,செந்துரா,8,80,Kg,FRUITS
SIRU KEERAI,சிறு கீரை,8,40,Piece,GREENS
SONA MASURI RAW,சோனா மசூரி ரா,8,100,Kg,PROVISIONS
KARUNG KURUVAI,கருங் குருவை,8,120,Kg,PROVISIONS
SEERAGA SAMBHA RAW,சீரக சம்பா ரா,8,150,Kg,PROVISIONS
MULAKEERAI,முலகீரை,8,35,Piece,GREENS
IDLI CHILLI POWDER,இட்லி மிளகாய் தூள்,8,500,Kg,PROVISIONS
FARM IDLI RICE,பண்ணை இட்லி அரிசி,8,90,Kg,PROVISIONS
SEASAME LADOO,சீசேம் லடூ,8,600,Kg,SNACKS
CURD CHILLI VATHAL,தயிர் மிளகாய் வத்தல்,8,2000,Kg,ORGANIC FOOD
MAPILLAI SAMBA RICE VADAM,மாப்பிள்ளை சம்பா அரிசி வடம்,8,750,Kg,ORGANIC FOOD
CAPSICUM GREEN,கேப்சிகம் பச்சை,8,130,Kg,VEG
BRINJAL VATHAL,பிரிஞ்சல் வத்தல்,8,2000,Kg,ORGANIC FOOD
NARTHANGAI PICKLE,நர்த்தங்கை ஊறுகாய்,8,150,Piece,ORGANIC FOOD
ALPHONSO MANGO,அல்போன்சா மாம்பழம்,8,200,Kg,FRUITS
RAW GROUNDNUT (FARM),மூல நிலக்கடலை (பண்ணை),8,120,Kg,VEG
LEMON PICKLE,எலுமிச்சை ஊறுகாய்,8,750,Piece,PROVISIONS
MANGO,மாம்பழம்,8,80,Kg,FRUITS
SAPOTA,சப்போட்டா,8,110,Kg,FRUITS
POOVAN BANANNA,பூவன் வாழை,8,95,Kg,FRUITS
PONNAKANI,பொன்னகனி,8,25,Piece,GREENS
MANATHAKALI KEERAI,மணத்தக்காளி கீரை,8,30,Piece,GREENS
KHOL KHOL,KHOL KHOL,8,100,Kg,VEG
WHEAT RAGI PASTA,கோதுமை ராகி பாஸ்தா,8,70,Kg,PROVISIONS
WHEAT KUTHIRAIVALLI PASTA,கோதுமை குதிரைவல்லி பாஸ்தா,8,70,Kg,PROVISIONS
WHEAT THINAI PASTA,கோதுமை தினை பாஸ்தா,8,70,Kg,PROVISIONS
WHEAT BLACK KAVUNI PASTA,கோதுமை கருப்பு கவுனி பாஸ்தா,8,70,Kg,PROVISIONS
WHEAT VARAGU PASTA,கோதுமை வரகு பாஸ்தா,8,70,Kg,PROVISIONS
WHEAT KAMBU PASTA,கோதுமை கம்பு பாஸ்தா,8,70,Kg,PROVISIONS
WHEAT SAAMAI PASTA,கோதுமை சாமை பாஸ்தா,8,70,Kg,PROVISIONS
WHEAT MULTI MILLET PASTA,கோதுமை மல்டி மில்லட் பாஸ்தா,8,70,Kg,PROVISIONS
VARAGU,வரகு,8,110,Kg,PROVISIONS
MULTI GRAIN ATTA FLOUR,மல்டி கிரெய்ன் அட்டா மாவு,8,150,Kg,PROVISIONS
TURMERIC POWDER,மஞ்சள் தூள்,8,400,Kg,PROVISIONS
MOONG DAL PAASIPARUPU,மூங் டால் பசிபருப்பு,8,200,Kg,PROVISIONS
WHITE ULLUNDU WHOLE,வெள்ளை உளுந்து முழுக்க,8,195,Kg,PROVISIONS
GREEN GRAM,பச்சை கிராம்,8,200,Kg,PROVISIONS
RAW TURMERIC,பச்சை மஞ்சள்,8,300,Kg,VEG
SAAMAI LADOO,SAAMAI LADOO,8,600,Kg,SNACKS
WHITE CHOLAM,வெள்ளை சோளம்,8,100,Kg,PROVISIONS
MAKKA CHOLAM,மக்கா சோளம்,8,80,Kg,PROVISIONS
KAVUNI DOSA FLOUR,கவுனி தோசை மாவு,8,200,Kg,PROVISIONS
ORANGE,ஆரஞ்சு,8,160,Kg,FRUITS
KOLI AVARAI,கோலி ஆவரை,8,100,Kg,VEG
STRAW BERRY,வைக்கோல் பெர்ரி,8,140,Kg,FRUITS
TURNIP,டர்னிப்,8,100,Kg,VEG
PONMANI IDLI RICE,பொன்மணி இட்லி சாதம்,8,80,Kg,PROVISIONS
TAMARIND(PULI),புளி(புளி),8,300,Kg,PROVISIONS
PONNI KAIKUTHAL,பொன்னி கைகூடல்,8,110,Kg,PROVISIONS
THATAI PEPPER,தாய் மிளகு,8,600,Kg,SNACKS
RAW BANANA CHIPS,பச்சை வாழைப்பழ சிப்ஸ்,8,500,Kg,SNACKS
